id,cat0,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cont0,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,target
12,A,B,A,A,B,D,A,E,C,H,0.12625719700120824,0.7468917210105762,0.5507579388502563,0.34095396421513496,0.27960725148789345,0.6112341645761397,0.5992402139986088,0.3504373014448766,0.3122958923793128,0.5565736109430257,0.6114300796591828,0.6561432432602751,0.6827808910036489,0.6771825930324143,7.589316415241804
13,A,A,B,C,B,B,A,E,C,K,0.5182785986509277,0.6378786057139424,0.6311652073437767,0.33855984502598435,0.4590181722459765,0.2041110910792457,0.7861676439837084,0.3594180736338685,0.4086369451908586,0.40761933301906506,0.4724350400382253,0.43347525059603015,0.3405175628220253,0.28380867096542034,7.030701295686563
14,A,A,A,C,B,B,A,E,E,F,0.4335379080501037,0.6496641917395334,0.4842628346789637,0.22225135347953853,0.6648662771392254,0.23555786891872835,0.6108709950155771,0.2871174776006697,0.1455390153374705,0.4047551610084664,0.3770550434532172,0.3562620345017183,0.3793719290350871,0.2374789344154615,8.464311378821892
18,A,B,A,C,B,B,A,D,E,L,0.4975308005302987,0.6488880654554394,0.6969572748025231,0.19488495116378096,0.7631860981362409,0.3321126230607832,0.44708090948721824,0.2485649399118056,0.35837532760727825,0.4349945447994352,0.3343253746793142,0.3533444124084187,0.35569811366272963,0.8317912523680968,8.523925857849264
22,A,A,A,A,B,B,A,E,C,F,0.4427449281098249,0.6673106812577251,0.698699272598829,0.378549204823924,0.2339123456504855,0.37235211112440536,0.7994379732083703,0.2462971665196261,0.472777435036809,0.7237088247399773,0.7126208568461373,0.7710743475905686,0.3379257463911268,0.7491558667304569,7.212612151354061
24,A,B,B,A,B,B,A,E,E,F,0.4760290244398656,0.08448983396252502,0.6926500061404878,0.2794529087958969,0.2797612671426241,0.3613127950688085,0.3743855681551824,0.29323698531973513,0.4010121745577366,0.29813972721764553,0.3677343931639997,0.4025567598288801,0.3497390318092214,0.7526457628512109,7.6756967714321584
25,A,A,A,C,B,D,A,D,C,F,0.492683570044672,0.7412948051444593,0.4963647239253437,0.16609488598037855,0.2787925741676183,0.4528003196011242,0.8365587269931012,0.4896127184993588,0.4566820579276556,0.6261645820171617,0.674107212437746,0.7094203572840427,0.6943692079287208,0.3764246854929001,5.479104758581864
26,A,A,A,A,B,B,A,E,C,F,0.5056105227445616,0.6170489088173572,0.461770978276841,0.2580329650664807,0.32830957678062456,0.29707541692279604,0.9040858717247928,0.2482178791436503,0.0698415776733779,0.5698243437361848,0.3805650892326811,0.7955551262261455,0.330912701618425,0.489293952621757,7.273782865004046
27,A,B,A,A,B,B,A,E,E,I,0.3090108551719977,0.29397536409813224,0.4543050168746315,0.3531490499045201,0.4174983252144,0.20205108504923286,0.4127143092777808,0.6774595626030915,0.3033395410586216,0.2376503005423425,0.3040749022984656,0.248345441091284,0.2741384935947537,0.2110636789215112,7.380379126234424
28,A,B,A,D,B,D,A,E,E,F,0.2848265243178193,0.774400821045748,0.4870124223986512,0.6384750877790422,0.2796246853805646,0.7521383684596316,0.3424735419864986,0.6621972135456686,0.1740558983837336,0.2773661741000928,0.5356555496973106,0.4941614699744584,0.8232060698255681,0.2748247717069813,7.819202494438308
30,A,A,A,C,B,D,A,E,C,O,0.20386012205318413,0.6159059600539828,0.18008792607372612,0.20948678577512744,0.509078807808201,0.322267203719022,0.4165378388632952,0.4995303262384305,0.14180418587116947,0.3777091910994997,0.5902849508261593,0.18873509213557813,0.4832641694966766,0.7394714905549961,6.812010515706398
36,A,A,A,C,B,B,A,E,E,I,0.465981442168434,0.6167711653080763,0.4768303433179608,0.17370609627733213,0.27921441904754873,0.28844285845023,0.4792559004128062,0.26276877597004433,0.12016770506634952,0.2703360624315306,0.3633510840670865,0.2711917928587956,0.33517978402256376,0.8116599865935757,6.417109467463135
41,A,A,A,C,B,B,A,E,C,L,0.3023634349204776,0.8252366293583613,0.5169588565569434,0.21129268918982155,0.6848548027702958,0.2271537087652309,0.3246272984204921,0.4880631567334353,0.283393388499128,0.3558909499312235,0.449752745239612,0.2579543025987823,0.6176148419435026,0.4241738459239625,6.430782484625833
42,A,B,B,C,B,D,A,E,E,L,0.4799443446729385,0.5516995234257961,0.6162342300748445,0.2496032809404688,0.2807932952583146,0.5527941562292007,0.386058477390506,0.2625000570565908,0.3920953525253242,0.4510395303961325,0.6488511906408024,0.7049216057419913,0.705384360183571,0.7865134924176674,8.585506410409813
43,A,B,A,D,B,B,A,E,C,F,0.5160419960701239,0.6170323826063544,0.5292521903896482,0.16787051156300814,0.8255413216937955,0.4696373625878799,0.4356061137174277,0.240949792117272,0.3717439621914917,0.38148036659475537,0.32094266795427623,0.715946879323366,0.3868387336120988,0.6944720985939873,7.0577235042698465
45,A,A,A,A,B,B,A,E,A,F,0.6039451136734625,0.6403704270697054,0.5655884495308134,0.17454739391794352,0.2819853072011354,0.4064315874033743,0.976293426755466,0.6902125136018039,0.5412450084293507,0.5696917905379948,0.7291523789019461,0.7316451423544412,0.3791528083334433,0.42398782506406335,6.689142417473115
46,A,A,A,C,B,B,A,E,E,F,0.2785209585258093,0.6272712554705059,0.4891415139202992,0.22929007893423886,0.7433973853974241,0.212396695806912,0.3283952792708847,0.6965696805481106,0.3164878023153897,0.3743603442387409,0.16301707337642396,0.204479429339393,0.3043790044424294,0.7988467484306392,8.43644856937785
47,A,B,A,A,B,B,A,E,A,H,0.5324808591189594,0.7307645318633381,0.6957474324485059,0.2616125631057569,0.5346204458038152,0.5448659095523903,0.3654813324429652,0.5039393007013994,0.4024057496364857,0.8208126149638618,0.6113829594826523,0.6905723495916902,0.5181770823372116,0.8201887901376984,7.1819205861598485
48,A,A,A,C,B,D,A,E,A,I,0.6925614218838911,0.35626964145186,0.32196405398207484,0.7589031665195273,0.34303972390423937,0.4942930896446337,0.7345063229287309,0.7326654844270258,0.9383480899674046,0.8138391797262126,0.8286232221145106,0.8038301746025159,0.9163187675136558,0.7684852792063065,7.247953753902511
50,A,B,A,C,B,D,A,E,E,G,0.35278015971009674,0.7477463633964623,0.5141006175233019,0.4263086049460685,0.5325929609627514,0.7561091015576386,0.2595164097345459,0.2450485200417771,0.10289300393319097,0.6227408547958044,0.7150453390010659,0.2898458311820485,0.6251150606266845,0.21076743898216016,7.950238343578059
51,A,A,B,A,B,D,A,E,E,F,0.5998707897630259,0.5509660583551567,0.5820186236145115,0.7310516568202061,0.27714369147017753,0.7620358963282077,0.2977929478423687,0.2776352881950697,0.260169768586458,0.7352546577732216,0.4126397964985541,0.7002462218867396,0.5935509983770437,0.4740829384897429,8.104210772746496
52,B,A,A,A,B,B,A,E,G,A,0.6813659474706459,0.5511777677277291,0.7300400033977154,0.2313051414454871,0.2808096343853145,0.4493056988486639,0.8770360581005906,0.8307377561904551,0.5225396761911172,0.5777644153980616,0.7019990413625677,0.8224807765424534,0.30178023179819713,0.8256568313036698,6.847813852341994
54,A,A,A,C,B,D,A,E,A,A,0.9405412562701893,0.5534628266442125,0.3149091040097293,0.8164622206786262,0.5127288803930021,0.9175608365494444,0.6086203623663257,0.8559338356215179,0.9053673284812284,0.8409061961025867,0.8441063650350135,0.7105515600770853,0.8416175937154218,0.6724127828189703,8.023148826254234
55,A,A,A,C,B,B,A,E,E,A,0.4252230820650272,0.1121496975556782,0.4571565983139744,0.370575162590158,0.8354725869805271,0.24800857021171,0.2795161935773321,0.2364126863476925,0.1095457458063511,0.3555419246063386,0.32236249462907857,0.29059684261762303,0.3323433289163775,0.2578394758018398,6.975083404428064
57,A,A,A,C,B,D,A,D,C,A,0.28932047282966866,0.7393585476305394,0.5339151453600646,0.4063428525769362,0.27743477853601384,0.3713518516536362,0.5686795670027676,0.3214706529546669,0.3478320825174394,0.4959529444998402,0.6227610320926268,0.70169050466601,0.6215555537865751,0.2798442517377229,5.858965529128503
58,A,B,A,A,B,B,A,E,E,B,0.2908944774732177,0.4882304170424757,0.6338654873269669,0.19464693325581575,0.367585829535236,0.2307102533056605,0.24064885727518825,0.2333999603886713,0.10847660320210932,0.3308810976805047,0.5633474892571395,0.2908483176295807,0.3216394531350621,0.7588418930594931,8.563246498676659
59,A,A,A,C,B,D,A,E,E,K,0.4016574991568651,0.2982294538072176,0.44360903504750104,0.18163175869790152,0.29394024366861843,0.8393307187563002,0.479225135649393,0.2622965774282153,0.4593126706707446,0.7663818841909381,0.6490606696381377,0.5898065272896257,0.8289151586898728,0.38405600586917976,7.423941368425724
62,A,A,A,A,B,B,A,E,C,I,0.4949209860947214,0.4853730256041332,0.4475117733749697,0.7392760503728635,0.42114043177036575,0.36295229504657983,0.8044747766880375,0.2601167801584611,0.3724465230972657,0.3626577799624896,0.5864505176390425,0.6830081026756767,0.3033405440906565,0.20474325691891965,6.984008618645821
65,B,A,A,A,B,D,A,E,C,H,0.4984508734226616,0.6178830552824552,0.4831630711164607,0.21569565515081432,0.7725618441438883,0.8549423830647338,0.8058122587437798,0.3355617972141769,0.8707082156706208,0.7196505580578053,0.9157983065677144,0.7278585196327003,0.8064797007496163,0.7985532805939878,6.564522060296629
67,A,A,A,A,B,B,A,E,A,I,0.7621091486111402,0.29325093791585183,0.5754309952034611,0.4344042166468831,0.28011655486692344,0.8725990508420229,0.6447955669335745,0.8672031835709816,0.8613052052966788,0.8058021289984527,0.6466922448269521,0.920613976286121,0.8691202352787621,0.7832749394883829,7.652331010178008
68,A,A,B,A,B,D,A,E,E,F,0.2890037723121985,0.7474611595632765,0.4803566793703321,0.2047114880152301,0.4149382376310111,0.7277208370239661,0.31196158841546845,0.25081191015326515,0.2814977399035232,0.341799134917814,0.44223888558650426,0.22852023511996605,0.6748064692838273,0.2788364903282932,6.410455613537606
69,A,B,B,C,B,D,A,E,C,G,0.4550477286715645,0.7640508687440334,0.20430050921589765,0.19547348128947376,0.2794165797430834,0.40864266906847824,0.37660664893942464,0.6175614527405451,0.4534078699962336,0.5511439333380171,0.7299647713277944,0.7264190911705167,0.5828353597136889,0.4662122063606436,8.906384197516433
73,A,A,A,C,B,D,A,E,C,I,0.5038625156024631,0.669566495218833,0.3197246021520565,0.24711714567516874,0.7135215103945974,0.37094589414662216,0.6474702322756498,0.33972994085737684,0.37658025692524605,0.4518432965940565,0.5896739469656465,0.926683641648167,0.3228136958884684,0.818718550895012,6.829079572604016
74,A,B,A,C,B,D,A,E,E,I,0.28210236728012306,0.8111507162020671,0.22873853684206566,0.18213482390664368,0.5120140715701421,0.9282847705429949,0.2675315012320184,0.5747021578444311,0.2959334397079421,0.5474550469200969,0.6907939763831955,0.2605266772544409,0.7138740938447348,0.8219713670647609,8.484516808197624
77,A,B,A,C,B,B,A,E,C,L,0.7609724999016587,0.6189324979136618,0.3131735196077751,0.19000531318466166,0.5110505929292871,0.9195099978980636,0.4681125020208362,0.2824990941614713,0.4671893822211242,0.4794496498692789,0.4627398403568168,0.8312052149978351,0.35544324728995264,0.7456745360621049,8.128132044670272
79,B,A,A,A,B,D,A,E,E,F,0.2555016879449445,0.4879267999972414,0.2725122077708895,0.5844739464985339,0.2812092088961526,0.22690289477589554,0.21219082456879426,0.3158425863833109,0.332543818074194,0.18096790641775465,0.6637209186542907,0.20343222067079,0.5182267475927799,0.3943446404340928,6.602582330555533
80,A,B,A,C,B,B,A,E,E,K,0.4904189730604808,0.3554003382487332,0.4984490386808072,0.252397644877711,0.7902377037196284,0.3398189343838201,0.3818460513771588,0.30211712121942896,0.4304148946113727,0.3323547061442397,0.6875775406657545,0.2679185157183302,0.24160719069031505,0.375175234519498,7.495200175865106
81,A,B,A,A,B,B,A,E,C,F,0.3991802166710225,0.6592637076850639,0.09805129285437594,0.35095859138632596,0.28836747938881524,0.3767831401346896,0.5526350013448813,0.6037882634284543,0.1727900613731561,0.4786247761144153,0.4694278690833557,0.6323589286998518,0.32831996769227223,0.2933948158978783,6.843133373489376
82,A,A,A,A,B,B,A,E,E,A,0.36849624824670907,0.038506164760981086,0.2303281842006513,0.1989317411630669,0.4072518680933432,0.16506321872540786,0.397254669138733,0.25044635263567594,0.1648881860405868,0.30688478858884044,0.13399876505461455,0.2173759490688365,0.3639762518334355,0.7256599468836867,7.732898447476826
83,A,A,A,C,B,B,A,E,C,I,0.6053905750441493,0.2918890825962346,0.3189877708743485,0.3767005001437396,0.4947011727800459,0.4151230539917306,0.9776774038547096,0.4619742484964463,0.3715181294115444,0.5341331445564244,0.8391680036198176,0.4048619639340291,0.263093413164392,0.8050479309784128,6.664016586948528
84,B,B,A,A,B,B,A,E,E,I,0.4775998179981407,0.7428634525615919,0.4894176869463175,0.177316650509447,0.7155692504109041,0.3479076856580761,0.440916582425145,0.2419629014652286,0.41204353991646586,0.4094794471862907,0.4649051061006168,0.4370103094881335,0.3089233492979616,0.5755163812173093,8.45554115674897
87,A,A,A,C,B,D,A,E,G,I,0.5324225204275299,0.7679164209008212,0.3543680310330461,0.7463433328069669,0.28267083679779803,0.5618178376231326,0.8631061245957868,0.9732585511176454,0.4945429233761964,0.6963364962527148,0.47201747116886295,0.7934528153379832,0.2667553306773109,0.2810786391242901,7.1495697546813215
88,A,B,A,C,B,B,A,E,C,H,0.519837016760998,0.7115706300623852,0.5109422367806061,0.3522883740587616,0.8679314482159163,0.3490975092148953,0.3373055289709775,0.2821042155919572,0.3208594991638385,0.3868571086187568,0.3240843775113996,0.3907156650146309,0.3738171003695416,0.7843780799950698,6.690668675818082
91,A,B,A,C,B,D,A,E,A,O,0.8995515190023614,0.6154416155033329,0.46709568605839796,0.7084181832946619,0.7423949649984212,0.8988002776789151,0.7578983258243207,0.8861220546518763,0.6734988609180476,0.8164497165929018,0.7416358816334514,0.8357955314316245,0.8910835430394478,0.3065704202303385,8.583431539995267
95,A,B,A,C,B,B,A,E,G,K,0.4552109548475876,0.01009377152659277,0.7093716433395441,0.20190430530540904,0.7282131329733078,0.2435043857766663,0.2687660288384828,0.2625190253275458,0.3292576576655598,0.3384535663324373,0.9211078462822626,0.2532952765454272,0.5326069979736818,0.21408800210628312,8.125417981906242
96,A,A,A,C,B,D,A,G,E,F,0.2817892920979537,0.3013830631420088,0.33169757020808555,0.8219894496445356,0.5048543627469327,0.2485683608795388,0.3782546648879267,0.2668024163402817,0.2722859988938262,0.3151097706262982,0.6033977460297534,0.3908636645282061,0.4943327660259628,0.7100954591796207,8.458430218634737
97,A,A,A,C,B,B,A,E,C,I,0.5315696755401614,0.7860954449011377,0.6550205426079588,0.20955603872524128,0.2788859828905357,0.33346627967744064,0.45755967935205993,0.7002926086443627,0.4284303791799641,0.5215467108402623,0.4466712804965164,0.3700414802922304,0.2699613266589244,0.1870452982349365,7.82285540369164
98,A,A,A,A,B,D,A,E,C,J,0.4663998590664125,0.5513558913934228,0.9422377620992626,0.7878184841393209,0.4196355308659159,0.5811545753813617,0.4526689945422845,0.66376233981262,0.4798111476372785,0.4259133013342798,0.7210749285594482,0.6841619527406803,0.5769550373381804,0.19586722627879968,8.077534227086787
99,B,B,A,D,B,D,A,E,A,I,0.9528172923594602,0.004842517608283081,0.16155390489889576,0.8070426429351324,0.5192083743999361,0.8663075503256035,0.8624576001160971,0.6295476124296546,0.8511743431672453,0.7974557831140832,0.7178193155270423,0.8872706082215722,0.8104220323479127,0.8144907997932026,7.491813910579882
103,A,B,A,C,B,D,A,E,C,G,0.7293016060075215,0.7474881156707233,0.4214349029674481,0.18332293001793254,0.2786512923224641,0.7368661625150921,0.7865338818120342,0.8589377835955545,0.8641218025034391,0.8016064196203844,0.5804541432766855,0.7146048073539591,0.7374735293843431,0.2060897404215124,8.499464026038336
104,A,B,A,A,B,B,A,E,C,F,0.33911534527296505,0.4191979500199312,0.5265635449536635,0.3525968405869124,0.8435186902192082,0.3817250357846702,0.3333993979856028,0.6168944210958294,0.33129198358503525,0.4592803388324331,0.3965939438160227,0.8095738101675212,0.362521524191387,0.3013903163317625,7.647969797947643
110,A,A,A,C,B,B,A,E,E,F,0.4675436394579876,0.7538427098863651,0.40067566357573614,0.850316647677328,0.4155668848711401,0.2288464576756784,0.23573022519856215,0.5185778385881596,0.23764275688435155,0.31167029206787794,0.2648067608153372,0.2470796004460068,0.5158536992456354,0.7117884611223434,8.091391599131843
111,A,A,A,C,B,D,A,E,E,L,0.5901991023408307,0.6197306967341668,0.30939184113774243,0.7333572288306945,0.277510959163622,0.1728595652164298,0.7991824438401958,0.8629010244654458,0.8578194193023131,0.7732199718451696,0.23922336604957176,0.1438319245126921,0.4976042406872369,0.3098604524089011,7.9047653864905545
114,A,B,A,C,B,D,A,E,C,L,0.7708789079298282,0.7383776992566423,0.3172086206348678,0.1951230494604929,0.2693864005897665,0.7620769667844609,0.4811789972141799,0.5262545974572346,0.1395093409109411,0.8142356784081414,0.6536534874624411,0.1897991301514542,0.8285583923891433,0.7926585779406744,7.060499410126211
115,A,B,A,C,B,D,A,E,C,J,0.5008272014447385,0.4862024219998303,0.21827817940068625,0.737773773989978,0.2783582382485733,0.9041226135299348,0.6815350587361702,0.7448653626568872,0.4976128380440071,0.7906405996842817,0.6257082115749893,0.7917138904355647,0.8381621319506151,0.4026387780669388,8.076933574334697
119,A,A,A,A,B,B,A,E,C,I,0.6046163102808426,0.3520342522942116,0.6416713342062751,0.18848316690193945,0.2795957757418473,0.4281455482215342,0.8745928148407247,0.35776996629980923,0.3651566280704641,0.5520025964571105,0.20061738012372146,0.241014288481574,0.3774352243080885,0.3008761733829631,7.95099204579678
121,B,A,B,C,B,D,A,E,C,J,0.4847236421229417,0.2930854341162428,0.9141523260548864,0.2231253351967692,0.27889424197686624,0.3791012408683216,0.3430874428379327,0.3417840780673025,0.5723362816209806,0.5658814823320456,0.4447299981328739,0.5116326844599958,0.3717826262786357,0.352115072470904,7.895602221374145
122,A,B,A,C,B,B,A,E,C,F,0.4901786516617608,0.3567066671510349,0.9450411263977496,0.3790713777776805,0.2784976150987563,0.3820615449552614,0.3456039047833811,0.3506892510149939,0.4362061323448053,0.4474621954355203,0.7206784662490838,0.3959582127290221,0.3730873011092524,0.3307169903579038,7.287876300833975
123,A,B,A,A,B,D,A,E,C,G,0.5066472720147567,0.7807474213903314,0.1484876520466118,0.7606204872347302,0.4735672711091156,0.4453915643008517,0.7104989854690367,0.3416981840897897,0.5481621917123356,0.8128820685395394,0.6958979676883248,0.7067663599275447,0.7097463535259663,0.7081226373423241,9.008162944537238
124,A,A,A,C,B,D,A,E,A,F,0.7476808861991835,0.07863497581742357,0.5571984038795048,0.7959890702409569,0.21890805309160388,0.1873874952045865,0.5216179968770065,0.2509362896009278,0.2898932941736652,0.7905903067304894,0.3497907571649456,0.4565780402342025,0.5429930941495635,0.8304741204088301,6.900623184978665
125,A,A,A,C,B,B,A,E,C,F,0.4995970031963781,0.4872197319326823,0.6145552084076084,0.4235293856676021,0.4263736521895259,0.4028574656675689,0.3806970138391455,0.28223447691887216,0.33544108798107675,0.3743356008981187,0.37858573383886107,0.32686114107424913,0.3189970817448512,0.8247738177198508,7.909243921730256
126,A,A,B,C,B,D,A,E,E,I,0.2788363733062313,0.6203319887584224,0.41326785316754855,0.7769522040159157,0.2757363164883923,0.2212757870556746,0.2498552830898624,0.2542851774396794,0.059386999913464626,0.2113392933061849,0.15757568391325685,0.14055653099776655,0.3633868109122142,0.8219656028120018,7.181295204469509
127,A,B,A,C,B,D,A,E,E,F,0.4509890955517567,0.6169618422470899,0.12330697087689768,0.4425740307566184,0.27779411911853,0.8418491172549026,0.416282643977424,0.33239594810874684,0.59597368042637,0.22102079943597647,0.5501397107458313,0.13975246331007418,0.24979350532491135,0.8104465663513507,8.347439532449824
128,A,A,A,C,C,B,A,E,C,F,0.4754921597986042,0.6736871656206016,0.6454769444192443,0.16224273452493265,0.350745877889093,0.3707361750727194,0.24472801636111896,0.23836429124040265,0.2972142541977589,0.20449624398191668,0.575323029399085,0.2889205183383932,0.3586730666580237,0.7119167200098461,6.824725072543908
131,A,B,A,C,B,D,A,E,C,L,0.4874331013561045,0.4200550458844533,0.4878331702735956,0.18077422747714225,0.7965905719422107,0.4012010305998527,0.2790576997525005,0.29923556904180937,0.2662149836586946,0.4405226453381635,0.3819269986758605,0.35398498135494066,0.7341574866726582,0.28907690056051816,7.654512048741971
135,A,A,A,C,B,B,A,E,C,I,0.3764787620714466,0.6325348274937805,0.5627810947686568,0.16782337559486293,0.5659763513370976,0.5162603239609006,0.7804220298132674,0.2496727928260871,0.4036298530050434,0.7945093659156107,0.31693211782949315,0.24231309641696125,0.3047586244400746,0.21131671194506424,6.768311578525903
138,A,B,A,C,B,B,A,E,E,F,0.3972141546505119,0.6667804304011086,0.3951648228792781,0.4192902150914168,0.4170526712385549,0.2717803342903621,0.28150439573445385,0.4198362291406582,0.10836725164561134,0.20582151649738747,0.15632709778657014,0.2645411400717586,0.2440862629822191,0.2727387136516481,6.35965901533279
139,A,A,A,C,B,B,A,E,E,I,0.5300297725818769,0.7327494348920396,0.4161317506035388,0.18705860781296169,0.5074005036770058,0.2746637852446308,0.35649295504016226,0.5144684785116594,0.3961275246529881,0.227573560477664,0.24289673923663185,0.2924418362157274,0.3375035478456312,0.7098745713500164,7.40035303692968
140,A,A,A,A,B,D,A,E,A,F,0.5099208358747374,-0.010308949561445707,0.3153504643674754,0.37638982032276863,0.28232642356651083,0.4588146263606747,0.8040907046084301,0.4559301254477232,0.4697334423496783,0.39214318862885467,0.754840351435634,0.6073246748234873,0.337558077941733,0.7828267638987572,8.316556427802276
143,A,B,A,A,B,D,A,E,E,L,0.6606859860378611,0.4872178219751005,0.4842102849534523,0.18085598844186415,0.7399438675081957,0.3669612538641051,0.31405116720621123,0.4766597971492181,0.6473257141699542,0.3310507296388431,0.36245996454745616,0.6291805495000945,0.5140691703687585,0.8541881769024673,9.591792594860028
144,A,B,A,A,B,B,A,E,C,F,0.5273005901761761,0.6662302013635439,0.4904682923157713,0.34798865560609005,0.6700370799161659,0.7526378172313924,0.4053459147386517,0.875346970001163,0.4933794371031713,0.4457089516650119,0.5593099655493929,0.6851812928155311,0.3424581601351913,0.7372925460581872,8.391026789964847
145,A,B,A,C,B,B,A,E,A,L,0.2441822663904323,0.6157017601969677,0.3954993586604487,0.3717333809444658,0.8067986443027539,0.2285459924336753,0.3889223542263504,0.6790119071340426,0.27591954104329325,0.2454577132161041,0.3937497506190024,0.249199791523035,0.3120601326130876,0.7991874213051882,9.537717644126829
146,A,A,A,A,B,D,A,E,C,H,0.5140216864352808,0.7417532380464075,0.1885810770387972,0.7994506753882672,0.6018881206635395,0.7973723961584241,0.5502011398631065,0.320879704378621,0.6922477785046287,0.8387418856123623,0.5777971877849035,0.7972548467033123,0.8941746207600707,0.7540639847231104,7.702095627882919
147,A,B,A,D,B,D,A,E,C,M,0.7643042439548818,0.7672848274000984,0.12333031412995607,0.7269147526488919,0.5062353690352902,0.7044871225745817,0.6899808170080675,0.4927691495855416,0.4002810166458359,0.5346622229919499,0.68873903928636,0.7585769956569234,0.7821228150737425,0.8109747072986204,6.495317107588045
148,A,B,B,C,B,B,A,D,C,F,0.3134800224184251,0.7468953446529998,0.4688539306577075,0.3003844813104104,0.278772591674158,0.5303325837631435,0.4132685311521741,0.4454109017838157,0.29143938558831994,0.5166510968078685,0.3600462289286546,0.7928919481582247,0.3384150554000717,0.7930309446747409,7.322044201305789
149,A,A,A,C,B,B,A,E,E,A,0.9057053567529634,0.7730486546618861,0.3508859192328821,0.8341493625668105,0.3655700888856165,0.9225325480786598,0.26774100064708145,0.5543501538898905,0.9454175949751612,0.8515044648453602,0.4676049959936249,0.9775274591625512,0.5319580181679058,0.3698140701006871,8.376008897378846
150,A,A,A,C,B,D,A,E,C,F,0.7528294521365935,0.7389412335896379,0.31434900985208136,0.5856799504141784,0.2794649358631208,0.5469092275560932,0.7808734208073419,0.3055070195113934,0.8492389373392143,0.7998695836260525,0.5398705578577983,0.6611662516965477,0.8518176571711712,0.20334995813284024,6.951868965010454
151,A,B,A,C,B,A,A,E,E,F,0.7407288390526364,0.7669057564807623,0.200307451166192,0.7486718517808665,0.5319572799385891,0.5235180300478216,0.2627580571221104,0.3579410159747061,0.049746686635247284,0.225179643490144,0.3287515430613542,0.14946612430926934,0.4098751985818028,0.8315703693651013,7.949670412931086
